track_name,Seven (feat. Latto) (Explicit Ver.),LALA,vampire,Cruel Summer,WHERE SHE GOES,Sprinter,Ella Baila Sola,Columbia,fukumean,La Bebe - Remix,un x100to,Super Shy,Flowers,Daylight,As It Was,Kill Bill,Cupid - Twin Ver.,"What Was I Made For? [From The Motion Picture ""Barbie""]",Classy 101,Like Crazy,LADY GAGA,I Can See You (Taylors Version) (From The,I Wanna Be Yours,"Peso Pluma: Bzrp Music Sessions, Vol. 55",Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),SABOR FRESA,Calm Down (with Selena Gomez),MOJABI GHOST,Last Night,Dance The Night (From Barbie The Album),Rush,TULUM,Creepin',Anti-Hero,TQG,Los del Espacio,Fragil (feat. Grupo Front,Blank Space,Style,TQM,El Azul,Sunflower - Spider-Man: Into the Spider-Verse,I'm Good (Blue),See You Again,Barbie World (with Aqua) [From Barbie The Album],Angels Like You,I Ain't Worried,Die For You,Starboy,Die For You - Remix,El Cielo,Baby Don't Hurt Me,AMARGURA,(It Goes Like) Nanana - Edit,Another Love,Blinding Lights,Moonlight,La Bachata,S91,cardigan,T,Boy's a liar Pt. 2,Left and Right (Feat. Jung Kook of BTS),BESO,Hey Mor,Yellow,Karma,People,Overdrive,Enchanted (Taylor's Version),BABY HELLO,Heat Waves,golden hour,Sweater Weather,"Quevedo: Bzrp Music Sessions, Vol. 52",Viva La Vida,Here With Me,Unholy (feat. Kim Petras),Yandel 150,CORAZoN VA,Riptide,Until I Found You (with Em Beihold) - Em Beihold Version,Novidade na ,Back To December (Taylor's Version),STAY (with Justin Bieber),El Merengue,Someone You Loved,Me Porto Bonito,Makeba,MONTAGEM - FR PUNK,Fast Car,What It Is (Solo Version),Coco Chanel,Dont Bl,Still With You,All My Life (feat. J. Cole),Say Yes To Heaven,Snooze,Summertime Sadness,Take Two,Lover,Too Many Nights (feat. Don Toliver & with Future),Chemical,Mockingbird,New Jeans,Primera Cita,Cold Heart - PNAU Remix,Dandelions,Bones,Set Fire to the Rain,Money Trees,Tak Segampang Itu,LAGUNAS,Mine (Taylor's Version),Everybody Wants To Rule The World,No Role Modelz,Tattoo,Rara Vez,VAGABUNDO,august,LUNA,Miracle (with Ellie Goulding),Nonsense,Que Vuelvas,Por las Noches,Feliz Cumpleaos Fe,Can't Hold Us (feat. Ray Dalton),Watermelon Sugar,lovely - Bonus Track,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Queencard,OMG,Radio,"Shakira: Bzrp Music Sessions, Vol. 53",505,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Trance (with Travis Scott & Young Thug),"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Perfect,Romantic Homicide,Believer,Novo Balan,"Gol Bolinha, Gol Quadrado 2",Without Me,QUEMA,Stargirl Interlude,Ojitos Lindos,Somewhere Only We Know,Those Eyes,El Gordo Trae El Mando,Mi Bello Angel,Bye,Danza Kuduro,Nosso Quadro,Locked Out Of Heaven,Un Finde | CROSSOVER #2,Jimmy Cooks (feat. 21 Savage),Counting Stars,Ghost,Under The Influence,PRC,Gasolina,One Dance,Enchanted,Save Your Tears,Sure Thing,Every Breath You Take - Remastered 2003,The Night We Met,We Found Love,When I Was Your Man,Let Me Down Slowly,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Do I Wanna Know?,Demons,l,Reminder,Shake It Off,Why'd You Only Call Me When You're High?,SNAP,Shape of You,Night Changes,Fin de Semana,Creep,Car's Outside,Apocalypse,Cheques,Pink + White,Circles,Just The Way You Are,Take Me To Church,Bebe Dame,You Belong With Me (Taylor���s Ve,Titi Me Pregunt,Better Than Revenge (Taylor's Version),Shut up My Moms Calling,Have You Ever Seen The Rain?,Es un Secreto,POLARIS - Remix,Ditto
artist(s)_name,"Latto, Jung Kook",Myke Towers,Olivia Rodrigo,Taylor Swift,Bad Bunny,"Dave, Central Cee","Eslabon Armado, Peso Pluma",Quevedo,Gunna,"Peso Pluma, Yng Lvcas","Bad Bunny, Grupo Frontera",NewJeans,Miley Cyrus,David Kushner,Harry Styles,SZA,Fifty Fifty,Billie Eilish,"Feid, Young Miko",Jimin,"Gabito Ballesteros, Junior H, Peso Pluma",Taylor Swift,Arctic Monkeys,"Bizarrap, Peso Pluma","The Weeknd, Madonna, Playboi Carti",Fuerza Regida,"Rma, Selena G","Tainy, Bad Bunny",Morgan Wallen,Dua Lipa,Troye Sivan,"Peso Pluma, Grupo Frontera","The Weeknd, 21 Savage, Metro Boomin",Taylor Swift,"Karol G, Shakira","Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk","Yahritza Y Su Esencia, Grupo Frontera",Taylor Swift,Taylor Swift,Fuerza Regida,"Junior H, Peso Pluma","Post Malone, Swae Lee","Bebe Rexha, David Guetta","Tyler, The Creator, Kali Uchis","Nicki Minaj, Aqua, Ice Spice",Miley Cyrus,OneRepublic,The Weeknd,"The Weeknd, Daft Punk","Ariana Grande, The Weeknd","Feid, Myke Towers, Sky Rompiendo","David Guetta, Anne-Marie, Coi Leray",Karol G,Peggy Gou,Tom Odell,The Weeknd,Kali Uchis,Manuel Turizo,Karol G,Taylor Swift,"dennis, MC Kevin o Chris","PinkPantheress, Ice Spice","Charlie Puth, BTS, Jung Kook","Rauw Alejandro, ROSAL�","Ozuna, Feid",Chris Molitor,Taylor Swift,Libianca,Post Malone,Taylor Swift,"Rauw Alejandro, Bizarrap",Glass Animals,JVKE,The Neighbourhood,"Bizarrap, Quevedo",Coldplay,d4vd,"Sam Smith, Kim Petras","Yandel, Feid",Maria Becerra,Vance Joy,"Em Beihold, Stephen Sanchez","Mc Livinho, DJ Matt D",Taylor Swift,"Justin Bieber, The Kid Laroi","Marshmello, Manuel Turizo",Lewis Capaldi,"Chencho Corleone, Bad Bunny",Jain,"Ayparia, unxbected",Luke Combs,Doechii,"Bad Bunny, Eladio Carrion",Taylor Swift,Jung Kook,"J. Cole, Lil Durk",Lana Del Rey,SZA,Lana Del Rey,BTS,Taylor Swift,"Future, Metro Boomin, Don Toliver",Post Malone,Eminem,NewJeans,Carin Leon,"Dua Lipa, Elton John, Pnau",Ruth B.,Imagine Dragons,Adele,"Kendrick Lamar, Jay Rock",Anggi Marito,"Jasiel Nuez, Peso P",Taylor Swift,Tears For Fears,J. Cole,Loreen,"Taiu, Milo j","Sebastian Yatra, Manuel Turizo, Be��",Taylor Swift,"Junior H, Peso Pluma","Calvin Harris, Ellie Goulding",Sabrina Carpenter,"Carin Leon, Grupo Frontera",Peso Pluma,Feid,"Ray Dalton, Ryan Lewis, Macklemore",Harry Styles,"Billie Eilish, Khalid","Rauw Alejandro, Bizarrap",(G)I-DLE,NewJeans,Lana Del Rey,"Shakira, Bizarrap",Arctic Monkeys,"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV","Travis Scott, Young Thug, Metro Boomin","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",Ed Sheeran,d4vd,Imagine Dragons,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax","Mc Pedrinho, DJ 900",Eminem,"Sog, Ryan Castro, Peso Pluma","The Weeknd, Lana Del Rey","Bomba Estreo, Bad B",Keane,New West,Chino Pacas,Natanael Cano,Peso Pluma,"Don Omar, Lucenzo","Ana Castela, AgroPlay",Bruno Mars,"Big One, FMK, Ke personajes","Drake, 21 Savage",OneRepublic,Justin Bieber,Chris Brown,"Natanael Cano, Peso Pluma",Daddy Yankee,"Drake, WizKid, Kyla",Taylor Swift,The Weeknd,Miguel,The Police,Lord Huron,"Rihanna, Calvin Harris",Bruno Mars,Alec Benjamin,"A$AP Rocky, Metro Boomin, Roisee",Arctic Monkeys,Imagine Dragons,YOASOBI,The Weeknd,Taylor Swift,Arctic Monkeys,Rosa Linn,Ed Sheeran,One Direction,"Oscar Maydon, Junior H",Radiohead,James Arthur,Cigarettes After Sex,Shubh,Frank Ocean,Post Malone,Bruno Mars,Hozier,"Fuerza Regida, Grupo Frontera",Taylor Swift,Bad Bunny,Taylor Swift,Hotel Ugly,Creedence Clearwater Revival,Plan B,"Feid, Mora, Saiko, Quevedo",NewJeans
artist_count,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,3,1,1,2,3,1,2,2,1,1,1,2,3,1,2,8,2,1,1,1,2,2,2,3,3,1,1,1,2,2,3,3,1,1,1,1,1,1,1,1,2,2,3,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,3,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,3,1,2,2,1,2,1,1,3,1,2,2,1,1,1,2,1,4,3,5,1,1,1,4,2,1,3,2,2,1,1,1,1,1,2,2,1,3,2,1,1,1,2,1,3,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1
released_year,2023,2023,2023,2019,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2023,2023,2023,2023,2023,2023,2013,2023,2023,2023,2022,2023,2023,2023,2023,2023,2022,2022,2023,2023,2023,2014,2014,2023,2023,2018,2022,2017,2023,2020,2022,2016,2016,2023,2023,2023,2023,2023,2012,2019,2023,2022,2023,2020,2023,2023,2022,2023,2022,1999,2022,2022,2023,2023,2023,2020,2022,2012,2022,2008,2022,2022,2022,2023,1975,2022,2023,2023,2021,2023,2018,2022,2015,2012,2023,2023,2023,2017,2020,2023,2023,2022,2011,2023,2012,2022,2023,2004,2023,2022,2017,2017,2021,2011,2012,2022,2023,2023,1985,2014,2023,2023,2023,2020,2023,2023,2022,2022,2021,2022,2011,2019,2017,2023,2023,2023,2011,2023,2007,2023,2022,2023,2017,2022,2017,2023,2023,2002,2023,2016,2022,2004,2019,2023,2023,2023,2010,2023,2012,2023,2022,2013,2021,2019,2023,2004,2016,2010,2020,2010,1983,2015,2011,2012,2018,2023,2013,2012,2023,2016,2014,2013,2022,2017,2014,2023,1992,2019,2017,2023,2016,2019,2010,2013,2022,2021,2022,2023,2020,1968,2010,2023,2022
released_month,7,3,6,8,5,6,3,7,5,3,4,7,1,4,3,12,2,7,3,3,6,7,1,5,6,6,3,6,1,5,7,6,12,10,2,6,4,1,1,5,2,10,8,7,6,11,5,11,9,2,6,4,2,6,10,11,2,5,7,7,5,2,6,3,10,1,10,12,7,7,6,6,7,5,7,1,7,9,12,6,1,4,6,7,7,3,11,5,6,6,3,3,3,11,6,5,3,12,1,6,1,12,4,1,7,4,11,4,3,1,1,12,6,7,2,12,2,2,5,7,6,3,7,12,6,8,8,11,8,6,5,1,1,1,4,6,12,5,1,7,1,5,6,1,7,11,5,1,5,1,6,5,1,2,12,4,6,1,3,10,1,7,4,1,3,5,1,2,1,12,5,6,1,1,4,11,1,1,3,1,11,1,9,10,3,5,8,8,1,9,12,4,5,7,2,7,7,6,12
released_day,14,23,30,23,18,1,16,7,15,17,17,7,12,14,31,8,24,13,31,24,22,7,1,31,2,22,25,29,31,25,13,28,2,21,23,1,7,1,1,19,10,9,26,21,23,27,13,24,21,24,2,6,24,15,15,29,24,26,14,24,4,3,24,24,6,1,21,2,14,7,23,28,15,14,6,1,17,22,20,22,1,22,23,7,9,3,8,6,22,20,24,17,17,8,5,12,17,9,1,9,1,2,14,1,7,20,10,28,11,1,1,2,22,7,17,9,25,8,12,24,22,10,15,9,11,19,16,17,11,21,15,2,1,11,20,2,2,22,1,20,31,19,1,1,13,24,6,1,10,27,30,26,1,2,5,4,17,1,19,4,23,13,4,1,20,25,6,2,1,5,25,2,1,1,12,25,1,1,19,6,17,13,21,18,21,19,20,30,1,13,16,9,6,7,10,1,20,8,19
in_spotify_playlists,553,1474,1397,7858,3133,2186,3090,714,1096,2953,2876,422,12211,3528,23575,8109,2942,873,2610,596,332,516,12859,1313,1945,250,7112,859,2420,2988,864,266,6036,9082,4284,1150,672,11434,7830,584,692,24094,12482,13387,1117,3372,8431,2483,29536,3408,1298,4277,1133,2259,18371,43899,2649,6804,525,7923,731,5184,3107,4053,4637,31358,3818,3506,410,148,1004,22543,4511,16413,8506,33898,3246,8576,3618,370,31123,2790,267,139,17050,2114,17836,8870,6060,641,1446,804,1962,4875,31,2175,2000,2839,20333,674,8448,2110,2528,12985,77,266,21097,3423,4198,14739,26792,213,58,99,41751,21164,2988,893,1094,7324,201,5120,2346,763,457,3430,6074,21915,15032,871,451,1783,9389,5724,13985,1051,1682,182,16596,2335,18986,283,293,21081,437,1275,6135,20015,1507,539,86,324,17138,894,1622,561,5871,29215,5866,3859,961,6457,43257,4564,12688,13801,22439,18515,36843,2420,5897,727,33783,26694,356,6518,21335,23389,3202,32181,7124,592,36724,794,13091,67,21574,19664,21106,23804,849,2619,9037,86,1788,15890,492,773,1154
in_spotify_charts,147,48,113,100,50,91,50,43,83,44,40,55,115,98,130,77,77,104,40,68,26,38,110,40,87,26,77,40,19,101,78,34,88,56,49,31,34,53,42,28,25,78,80,64,80,19,76,59,79,47,38,66,39,59,83,69,42,45,41,29,15,41,39,50,38,43,23,56,36,24,35,63,36,61,45,62,23,42,38,20,55,30,9,17,36,44,53,43,53,50,12,25,38,23,39,23,46,25,52,47,23,58,39,61,35,27,52,21,44,43,32,6,18,15,25,36,59,38,34,22,11,48,27,26,24,38,52,34,30,32,33,27,46,44,25,16,46,8,13,23,23,7,8,43,31,32,38,16,14,21,8,14,37,9,9,14,27,43,24,26,26,18,24,16,13,19,19,35,21,11,19,16,26,13,16,17,13,29,18,10,18,14,7,10,17,8,30,16,13,31,22,12,42,11,14,14,36,33,22
streams,141381703,133716286,140003974,800840817,303236322,183706234,725980112,58149378,95217315,553634067,505671438,58255150,1316855716,387570742,2513188493,1163093654,496795686,30546883,335222234,363369738,86444842,52135248,1297026226,200647221,115364561,78300654,899183384,61245289,429829812,127408954,22581161,52294266,843957510,999748277,618990393,123122413,188933502,1355959075,786181836,176553476,354495408,2808096550,1109433169,1047101291,65156199,570515054,1085685420,1647990401,2565529693,518745108,107753850,177740666,153372011,57876440,1813673666,3703895074,256483385,1214083358,16011326,812019557,111947664,156338624,720434240,357925728,674072710,1755214421,404562836,373199958,14780425,39578178,54266102,2557975762,751134527,2282771485,1356565093,1592909789,635412045,1230675890,585695368,43857627,2009094673,600976848,39709092,39228929,2665343922,223633238,2887241814,1440757818,165484133,58054811,157058870,95131998,250305248,685032533,38411956,144565150,127567540,399686758,983637508,118482347,882831184,286400165,172825906,1241559043,29562220,77309611,1605224506,1116995633,838079900,1163620694,1093605526,179659294,39058561,36912123,1205951614,1791000570,201660859,248088961,90839753,607123776,55842345,211050784,342897938,2762,330346424,601863821,1953533826,2322580122,2355719893,66902503,96273746,430977451,284819874,721975598,1217120710,109276132,276259178,54225632,2559529074,681583126,2594040133,81102253,11956641,1687664027,11599388,611700552,1133865788,1089402494,411747614,255932395,31873544,95053634,1279434863,233801632,1481349984,142095275,618885532,2011464183,1167330737,929964809,436027885,657723613,2713922350,621660989,1591223784,950906471,1593270737,1410088830,1235005533,1661187319,1374581173,94186466,1788326445,1840364617,143573775,684675814,1113838873,1267333350,726307468,3562543890,1131090940,307370144,1271293243,265882712,841749534,47956378,806397070,2132335812,1641426668,2135158446,367316268,350381515,1264310836,30343206,405136812,1145727611,540654286,57312735,397582059
in_apple_playlists,43,48,94,116,84,67,34,25,60,49,41,37,300,80,403,183,91,80,43,8,11,73,24,17,74,16,202,35,52,0,71,20,113,242,115,22,19,154,94,16,10,372,291,77,82,65,241,68,281,87,44,145,14,0,250,672,67,139,34,106,27,154,38,82,63,196,37,105,36,32,42,386,70,166,94,233,94,216,47,12,300,60,9,16,492,80,440,104,150,1,57,29,28,19,2,69,49,58,89,20,160,17,56,49,8,6,384,41,98,88,69,7,2,21,101,80,74,19,40,25,19,161,69,21,8,45,201,437,221,25,10,26,24,119,30,31,24,3,7,82,250,6,5,98,17,13,71,107,24,7,7,13,119,14,0,4,81,179,107,133,19,98,433,24,197,137,211,70,321,0,0,17,133,65,35,45,328,54,148,33,60,11,146,38,61,7,112,391,82,187,27,47,124,3,1,71,4,20,28
in_apple_charts,263,126,207,207,133,213,222,89,210,110,205,202,215,156,198,162,212,227,100,104,163,119,98,152,182,149,119,109,107,0,135,185,149,142,123,33,108,123,111,159,107,117,184,58,145,48,127,21,137,86,64,111,71,0,122,199,79,111,115,112,17,84,0,121,79,2,55,64,32,93,80,144,58,87,65,0,85,108,74,16,65,96,6,72,99,75,125,120,148,52,97,76,89,45,107,145,105,156,143,106,110,119,91,98,166,40,135,100,108,112,113,6,106,52,32,65,102,23,58,81,117,115,12,110,116,69,44,115,96,59,126,124,122,108,80,37,90,88,0,55,121,9,2,76,29,8,113,69,71,71,76,110,81,88,0,14,121,97,38,181,143,95,107,101,115,125,74,82,91,0,0,60,92,82,102,85,70,70,80,0,20,84,72,25,96,10,68,73,0,99,129,90,133,33,50,37,3,46,125
